size_of_population,tournament_size,mutation_probability,tournament_selection_probability,hypervolume,spread,convergence,fitness,Execution_time,Number_of_solutions,Fdistance_best_value,Fcapacity_best_value,Fdistance_worst_value,Fcapacity_worst_value,Fdistance_average_value,Fcapacity_average_value
160,9,0.138798738,0.975997296,0,0,0,0,97.78497148,160,58855,45.45079365,86335,83.38095238,66417.5625,61.42267857
144,8,0.120471578,0.936724809,0,1,1,-2,99.18342471,144,60890,44.13809524,84635,78.70079365,69201.63194,55.88547729
79,3,0.04385681,0.772550307,0,1,1,-2,67.31944299,79,61605,45.44285714,84005,77.98253968,69491.89873,57.97205144
110,6,0.080338429,0.850725205,0.221851708,0.466053009,1,-1.244201301,110.8156579,110,62180,46.75555556,85170,78.6031746,70381.95455,57.42663781
136,7,0.110613271,0.915599866,0,0.475032699,1,-1.475032699,95.03444242,136,64990,44.31587302,87015,68.5015873,71724.92647,53.29152661
137,7,0.11195937,0.918484365,0.764504027,0.106076434,0.240985848,0.417441746,120.7627168,137,61525,43.94285714,86365,79.97619048,70034.56204,55.7572703
70,3,0.034206405,0.751870868,0.698378496,1,1,-1.301621504,42.64292526,70,64260,49.18571429,86890,78.55079365,73509.14286,59.9430839
99,5,0.068287772,0.824902369,0.141920035,0.440055377,0.908079626,-1.206214968,90.88124585,99,63075,47.93968254,86135,71.24126984,71870,56.28219497
143,8,0.118819042,0.933183662,0.131097479,0,0.715925039,-0.58482756,93.29098845,143,62755,45.71111111,89515,68.4015873,71993.74126,53.25191475
65,3,0.027974051,0.738515824,0.07121194,0.82062119,1,-1.74940925,43.20520377,65,71930,49.1968254,90155,67.09365079,76927,56.95423687
146,8,0.122716381,0.941535102,1,0.198188453,0.110426074,0.691385473,95.03245306,146,61705,42.74761905,95495,75.86825397,72751.91781,54.97485323
105,5,0.074473823,0.838158192,0,0.333446373,0.697586954,-1.031033328,60.07247257,105,66010,49.6968254,82685,68.81031746,71112.47619,57.21128496
158,9,0.136569998,0.971221425,1,0.199092702,0,0.800907298,85.86994886,158,57805,43.11587302,96075,90.47777778,70030.47468,60.1328913
125,7,0.098494496,0.889631064,0.875778551,0.207443783,0.216849916,0.451484851,117.4608672,125,62297.5,45.25873016,98015,84.88095238,70576.14,59.61371429
140,8,0.115699165,0.926498212,0.243919491,0.315750902,0.463435415,-0.535266826,67.90309381,140,63745,45.63492063,90220,71.18253968,72680,54.71479592
133,7,0.106996208,0.907849017,0.313050483,0.374103473,0.409872521,-0.470925511,93.17337632,133,63295,44.68888889,91100,72.77380952,73083.53383,54.90512591
138,7,0.11374435,0.92230932,0.454561221,0.238654551,0.219249474,-0.003342804,81.36451268,138,59020,45.88253968,84610,83.37857143,67713.26087,59.8560789
147,8,0.124243979,0.944808527,0.928740291,0.247835907,0.037513408,0.643390976,142.6274204,147,57380,44.24206349,90095,94.10793651,69380.06803,62.03445632
120,6,0.091776539,0.87523544,0.260225455,0.310215037,0.395424138,-0.445413719,69.68523479,120,63110,43.8,89495,72.30634921,72343.41667,53.75271164
150,8,0.126668493,0.950003914,0.609530215,0.150320844,0.232298299,0.226911071,72.85651684,150,61295,44.58333333,90045,83.51428571,70718.33333,58.39915873
69,3,0.032202632,0.747577069,0,1,1,-2,62.1476562,69,70080,48.81666667,82230,61.25555556,74930,54.50832758
122,6,0.09447104,0.88100937,0.498212831,0.300942739,0.424703722,-0.22743363,114.0773857,122,65035,44.44285714,90445,75.82857143,72274.42623,56.68628676
167,9,0.147198321,0.993996402,0.865460489,0.127597867,0.235336939,0.502525682,82.33443904,167,62135,45.57777778,96270,85.18571429,73290.26946,58.63084783
118,6,0.090341052,0.872159397,0.131867107,0.209520161,0.60239472,-0.680047774,68.64233351,118,64705,45.85714286,84035,65.67619048,69957.41525,53.7114205
