Run_number,number_of_generations,hypervolume,spread,convergence,Execution_time,Number_of_solutions,Fdistance_best_value,Fcapacity_best_value,Fdistance_worst_value,Fcapacity_worst_value,Fdistance_average_value,Fcapacity_average_value
1,250,0.74949637,0.003673703,0.320937175,49.26619315,100,74490,53.86111111,89215,68.90555556,80734.2,58.9714127
2,250,0.74870846,0.008263413,0.276871514,51.54470038,100,71415,50.74365079,100560,78.06587302,80425.6,62.81309524
3,220,0.729777259,0,0.336365557,44.45253968,100,75800,50.01825397,82935,63.58571429,79412.4,53.92293651
4,490,0.678001374,0.011241186,0.257166539,136.8571308,100,68560,52.40396825,79480,75.31587302,72943.05,62.15681746
5,499,0.643714833,0.00843756,0.286208669,181.9786177,100,71555,48.18412698,81355,65.84444444,76061.3,54.84644444
6,499,0.738019514,0.00791716,0.26624538,175.4887738,100,70205,48.67777778,85810,63.62539683,77961.1,52.81285714
7,430,0.746674869,0.009525623,0.251063116,153.6549518,100,69685,52.34365079,84730,80.95714286,75337.75,62.87665079
8,280,0.669309853,0.009764947,0.231497369,103.5823207,100,66750,52.05714286,83180,79.02857143,72944.25,64.19504762
9,370,0.724386051,0.008556526,0.33074259,126.0201447,100,76270,49.33492063,94540,65.01428571,82576.9,55.74464286
10,340,0.746649416,0.009399079,0.351407837,122.3389781,100,77240,53.98730159,94315,79.03968254,83981.5,62.94455556
